核苷种类,A溶剂,A添加剂种类mmol,A添加剂种类%,B溶剂,B添加剂种类mmol,B添加剂种类%,H,S*,A,B,C (pH 2.8),C (pH 7.0),色谱柱调料粒径,色谱柱长度,色谱柱内径,柱温,A添加剂种类浓度mmol,A添加剂种类浓度%,B添加剂种类浓度mmol,B添加剂种类浓度%,起始时间min,起始比例A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,流速,进样量,保留时间
尿嘧啶,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,8
尿嘧啶,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,3
胞苷,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,1.2
次黄嘌呤,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,16
次黄嘌呤,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,16
黄嘌呤,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,18
黄嘌呤,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,18
鸟苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,36
鸟苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,36
尿苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,10.1
鸟苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,16.6
胸腺嘧啶,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,9.4
腺嘌呤,乙腈,无,无,水,无,磷酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,40,0,0,0,0.001,0,2,5,8,10,15,25,25,40,45,50,60,60,70,70,70,71,2,-1,-1,1,20,5
腺嘌呤,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,5.2
腺嘌呤,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,22.8
腺嘌呤,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,22.8
腺嘌呤,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,22.8
腺嘌呤,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,22.8
肌苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,16.2
肌苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,16.2
肌苷,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,20
肌苷,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,20
肌苷,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,13.6
尿苷,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,1.8
尿苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,3
鸟苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,6.1
腺苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,35
腺苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,35
腺苷,乙腈,无,无,水,无,磷酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,40,0,0,0,0.001,0,2,5,8,10,15,25,25,40,45,50,60,60,70,70,70,71,2,-1,-1,1,20,8
腺苷,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,16.5
腺苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,38.5
腺苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,38.5
腺苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,38.5
腺苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,38.5
虫草素,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,40.5
虫草素,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,24.2
尿苷,甲醇,无,无,水,磷酸,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0,0,0.001,0,0.5,15,7,25,15,35,80,45,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,15
鸟苷,甲醇,无,无,水,磷酸,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0,0,0.001,0,0.5,15,7,25,15,35,80,45,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,22
尿苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,15.8
尿苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,15.8
鸟苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,30
鸟苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,30
尿苷,甲醇,无,无,水,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,150,4.6,25,0,0,0,0,0,10,15,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,3.8
尿苷,乙腈,无,无,水,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,0,9,1,13,4,18,4,23,25,23.5,0,-1,-1,-1,-1,-1,-1,-1,-1,1,20,13
尿苷,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,35,0,0,0,0,0,100,7,97,12,97,22,94,40,94,41,100,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,16.4
鸟苷,乙腈,无,无,水,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,2,12,2,16,8,18,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,11
尿苷,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,14.5
鸟苷,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,24.5
尿苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,18
尿苷,乙腈,无,无,水,磷酸二氢钾,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,40,0,0,50,0,0,0,10,2,20,10,21,60,25,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,7.5
鸟苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,30
鸟苷,乙腈,无,无,水,磷酸二氢钾,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,40,0,0,50,0,0,0,10,2,20,10,21,60,25,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,12.5
尿苷,甲醇,无,无,水,无,冰醋酸,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0,0,0.0007,0,4,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,6.2
尿苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,9
尿苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,6.8
尿苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,0.5,2,0.5,3,1,7,2,8,5,10,10,40,40,-1,-1,-1,-1,-1,-1,1,2,6.4
鸟苷,甲醇,无,无,水,无,冰醋酸,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0,0,0.0007,0,4,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,13
鸟苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,13.5
鸟苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,12.2
鸟苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,0.5,2,0.5,3,1,7,2,8,5,10,10,40,40,-1,-1,-1,-1,-1,-1,1,2,11.3
尿苷,甲醇,无,无,水,无,磷酸,1.07,0.02,-0.06,-0.03,0.05,0.08,5,250,4.6,25,0,0,0,0.002,0,15,0,30,2,45,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7,20,23.4
尿苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,7
尿苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,7
尿苷,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,4.8
尿苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,17.1
尿苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,17.1
尿苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,17.1
尿苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,17.1
鸟苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,18.1
鸟苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,18.1
鸟苷,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,15.1
鸟苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,33.5
鸟苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,33.5
鸟苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,33.5
鸟苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,33.5
